,Embedding,Method,Time,Dimension,Window,Word count,Sampling,Cross-sentence,Epochs,Dataset,Out of vocabulary,Low bin lower bound,Low bin upper bound,Mid bin lower bound,Mid bin upper bound,High bin lower bound,High bin upper bound,Low bin score,Low bin pair count,Middle bin score,Middle bin pair count,High bin score,High bin pair count,Mixed bin score,Mixed bin pair count,General score
60,w2v,CBOW,2020-05-06 03:14:28.834702,100,10,5000000,hs,No,100,SimLex-999,6,1,41,41,162,164,3980,-0.20985102741644754,102,0.1957609402406823,101,0.091197131752456,179,0.1919629883983322,617,0.11455839161977642
61,w2v,CBOW,2020-05-06 03:14:30.368088,100,10,5000000,hs,No,100,TR9856,1740,1,41,41,207,208,3173,0.2555875233580717,150,0.5426007489073547,102,0.5652936738285422,179,0.0858900045619982,9425,0.09384822743675034
62,w2v,CBOW,2020-05-06 03:14:31.508763,100,10,5000000,hs,No,100,WS353,3,1,83,83,319,320,5137,0.3799097442754471,33,0.784083514947815,24,0.6763549423521967,26,0.5230551263508981,120,0.5015278096678512
63,w2v,CBOW,2020-05-06 03:23:23.888296,300,2,5000000,hs,No,100,MEN,28,1,29,29,137,138,6911,0.22332251106700238,386,0.4228247846987544,311,0.613186084652657,356,0.37882374518990714,1947,0.3948248953755616
64,w2v,CBOW,2020-05-06 03:23:25.108279,300,2,5000000,hs,No,100,MTurk,76,1,47,47,172,177,3152,0.13835830444738664,18,0.03015324144963216,23,0.5716878519139839,31,0.39663919036001927,215,0.38637147197865496
65,w2v,CBOW,2020-05-06 03:23:26.328263,300,2,5000000,hs,No,100,RG65,1,1,10,11,92,93,747,0.0,5,0.38095238095238104,8,0.25,7,0.2888347154794641,45,0.2787236378261006
66,w2v,CBOW,2020-05-06 03:23:27.659607,300,2,5000000,hs,No,100,RW,852,1,7,7,64,64,4471,0.21618371149332902,99,0.20571407457956717,121,0.3631403127841853,92,0.14599664842225318,1722,0.1589758360891352
67,w2v,CBOW,2020-05-06 03:23:28.925731,300,2,5000000,hs,No,100,SimLex-999,6,1,41,41,162,164,3980,-0.04506784210905356,102,0.2432246683579486,101,0.08229387955025796,179,0.22314356823057394,617,0.14622595880105024
68,w2v,CBOW,2020-05-06 03:23:30.599733,300,2,5000000,hs,No,100,TR9856,1740,1,41,41,207,208,3173,0.14642216739495095,150,0.5099112777420234,102,0.5566941430478279,179,0.06511553414081568,9425,0.07200388508502356
69,w2v,CBOW,2020-05-06 03:23:31.818166,300,2,5000000,hs,No,100,WS353,3,1,83,83,319,320,5137,0.19271268594350663,33,0.7171124326949234,24,0.5115404417385674,26,0.5332613341343616,120,0.4452965351603756
